;year;Edge length;Edge density;Median patch area;Mean patch perimeter
42;../cu_ir_fc_pf/fc_pf_wgain_2012_iruc.tif;1236166800.0;0.0006565677426107219;2700.0;0.13166705097607834
43;../cu_ir_fc_pf/fc_pf_wgain_2013_iruc.tif;1276594380.0;0.0006784075651158067;2700.0;0.13597308811588246
44;../cu_ir_fc_pf/fc_pf_wgain_2014_iruc.tif;1330366980.0;0.0007075374039804721;1800.0;0.14170053492644016
45;../cu_ir_fc_pf/fc_pf_wgain_2015_iruc.tif;1371125100.0;0.0007297747555289969;1800.0;0.14604177873737495
46;../cu_ir_fc_pf/fc_pf_wgain_2016_iruc.tif;1542584460.0;0.000824113552623767;1800.0;0.16430432074416845
47;../cu_ir_fc_pf/fc_pf_wgain_2017_iruc.tif;1648895040.0;0.0008833242058625912;1800.0;0.1756277121681626
48;../fc_npf/fc_npf_00_rec.tif;9755955720.0;0.012579429317093046;2700.0;1.036182874713752
49;../fc_npf/fc_npf_01_rec.tif;9734287980.0;0.012699697223843632;2700.0;1.0338815379085915
50;../fc_npf/fc_npf_02_rec.tif;9733342800.0;0.0128740450163775;2700.0;1.0337811501751424
51;../fc_npf/fc_npf_03_rec.tif;9730357620.0;0.013022638966739292;2700.0;1.0334640936964343
52;../fc_npf/fc_npf_04_rec.tif;9731295120.0;0.013199170469867676;2700.0;1.0335636660200505
53;../fc_npf/fc_npf_05_rec.tif;9743325360.0;0.013372348956956099;2700.0;1.034841401354344
54;../fc_npf/fc_npf_06_rec.tif;9773481000.0;0.013536856982407725;2700.0;1.0380442405546648
55;../fc_npf/fc_npf_07_rec.tif;9815923080.0;0.013712779424309783;2700.0;1.042552026091728
56;../fc_npf/fc_npf_08_rec.tif;9847134660.0;0.013865281654728634;2700.0;1.0458670169605704
57;../fc_npf/fc_npf_09_rec.tif;9885760200.0;0.014009202672620744;2700.0;1.0499694466307583
58;../fc_npf/fc_npf_10_rec.tif;9926171940.0;0.014193587667891874;2700.0;1.0542615890432634
59;../fc_npf/fc_npf_11_rec.tif;9957302700.0;0.014332952324603932;2700.0;1.0575679959374769
60;../fc_npf/fc_npf_12_rec.tif;10039845120.0;0.014593116070082521;2700.0;1.0663348500975447
61;../fc_npf/fc_npf_13_rec.tif;10152600120.0;0.014879139861599968;2700.0;1.0783105909729094
62;../fc_npf/fc_npf_14_rec.tif;10264017120.0;0.015208403938053042;1800.0;1.0901442224911493
63;../fc_npf/fc_npf_15_rec.tif;10337169360.0;0.015467418599827398;1800.0;1.0979137428589882
64;../fc_npf/fc_npf_16_rec.tif;10454584680.0;0.015944439923165903;1800.0;1.1103844576960449
65;../fc_npf/fc_npf_17_rec.tif;10532995020.0;0.016364328974092627;1800.0;1.1187124423700157
66;../fc_npf/fc_npf_wgain_2012_rec.tif;9921282120.0;0.012780219152096392;2700.0;1.0537422417960571
67;../fc_npf/fc_npf_wgain_2013_rec.tif;10100298060.0;0.013106161126052368;2700.0;1.0727555761117566
68;../fc_npf/fc_npf_wgain_2014_rec.tif;10293589620.0;0.013487302190802778;2700.0;1.0932851281284686
69;../fc_npf/fc_npf_wgain_2015_rec.tif;10426357800.0;0.01377992589167783;1800.0;1.1073864745579818
70;../fc_npf/fc_npf_wgain_2016_rec.tif;10669311120.0;0.014340409184628842;1800.0;1.1331906164119552
71;../fc_npf/fc_npf_wgain_2017_rec.tif;10877173860.0;0.014860123618945691;1800.0;1.1552677776632287
72;../fc_pf/fc_pf_00.tif;3240136440.0;0.0009831612805361685;2700.0;0.3441358268937295
73;../fc_pf/fc_pf_01.tif;3362429940.0;0.0010235106176286312;2700.0;0.35712465482086586
74;../fc_pf/fc_pf_02.tif;3527145360.0;0.0010790005829655874;1800.0;0.37461912722997415
75;../fc_pf/fc_pf_03.tif;3678177780.0;0.0011305848851669862;1800.0;0.3906603248901248
76;../fc_pf/fc_pf_04.tif;3863883540.0;0.001195112858774968;1800.0;0.4103841876618224
77;../fc_pf/fc_pf_05.tif;4019852820.0;0.001250549722354703;1800.0;0.42694972997319813
78;../fc_pf/fc_pf_06.tif;4154083740.0;0.001298057957398552;1800.0;0.44120643468014853
79;../fc_pf/fc_pf_07.tif;4288203000.0;0.001344907428072985;1800.0;0.4554512799492338
80;../fc_pf/fc_pf_08.tif;4392663720.0;0.0013824041167025051;1800.0;0.4665460828964876
81;../fc_pf/fc_pf_09.tif;4470975660.0;0.0014101810980892454;1800.0;0.4748636165061295
82;../fc_pf/fc_pf_10.tif;4604715000.0;0.001457720450257243;1800.0;0.48906811012291
83;../fc_pf/fc_pf_11.tif;4689588720.0;0.0014883695013105046;1800.0;0.4980825720380844
84;../fc_pf/fc_pf_12.tif;4825153440.0;0.0015368862106315993;1800.0;0.5124809399111815
85;../fc_pf/fc_pf_13.tif;4955757060.0;0.0015819646773823299;1800.0;0.5263523878719335
86;../fc_pf/fc_pf_14.tif;5106582300.0;0.0016354949053499436;1800.0;0.5423715800544162
87;../fc_pf/fc_pf_15.tif;5224248060.0;0.0016780304747396474;1800.0;0.5548688944900676
88;../fc_pf/fc_pf_16.tif;5632744320.0;0.0018264166805367634;1800.0;0.5982553999728075
89;../fc_pf/fc_pf_17.tif;5821015020.0;0.001901448725679556;1800.0;0.6182516855978901
90;../fc_pf/fc_pf_wgain_2012.tif;3527759280.0;0.0010738179717513733;2700.0;0.37468433277522795
91;../fc_pf/fc_pf_wgain_2013.tif;3748320060.0;0.001143357734223549;1800.0;0.3981101566200471
92;../fc_pf/fc_pf_wgain_2014.tif;4029371580.0;0.00123296608833597;1800.0;0.42796071954733084
93;../fc_pf/fc_pf_wgain_2015.tif;4231522320.0;0.0012984090115581032;1800.0;0.4494312080849074
94;../fc_pf/fc_pf_wgain_2016.tif;4867410960.0;0.0015070664302040734;1800.0;0.5169691237479195
95;../fc_pf/fc_pf_wgain_2017.tif;5262864720.0;0.0016410338187981322;1800.0;0.5589703818681422
96;../BLA_fc_gain/tree_cover_30_wgain_2012.tif;9263084280.0;0.002281056842988909;1800.0;0.9793163677040368
97;../BLA_fc_gain/tree_cover_30_wgain_2013.tif;60.0;1.4820960197512392e-11;1800.0;60.0
98;../BLA_fc_gain/tree_cover_30_wgain_2014.tif;10219470300.0;0.0025354973286923982;1800.0;1.0804278809472774
99;../BLA_fc_gain/tree_cover_30_wgain_2015.tif;10591534560.0;0.0026380173250182765;1800.0;1.1197634419044569
100;../BLA_fc_gain/tree_cover_30_wgain_2016.tif;11571262740.0;0.0029124387133012374;1800.0;1.223342746920663
101;../BLA_fc_gain/tree_cover_30_wgain_2017.tif;12253908780.0;0.003111445729658126;1800.0;1.2955137879635212
