;class;Land cover;Edge length;Edge density;Number of Patches;Median patch area;Mean patch perimeter
0;1;1291338900.0;46977720.0;0.0011103173776456838;128150;1800.0;0.004900358317799812
1;2;1556318700.0;53074020.0;0.001254403293891542;135015;1800.0;0.005536277971110334
2;3;1457539200.0;47086980.0;0.0011128997353395346;113970;1800.0;0.004911755576819782
3;4;2422207800.0;63347820.0;0.0014972243306395202;134941;1800.0;0.0066079627424315114
4;5;2079907200.0;65221800.0;0.0015415158066702953;149301;1800.0;0.006803442057753687
5;6;1815988500.0;61533060.0;0.0014543325180045885;146042;1800.0;0.006418660750886622
6;7;1839933900.0;65728500.0;0.0015534916500116295;161721;1800.0;0.006856297117199507
7;8;1915356600.0;68385780.0;0.001616296404292389;162439;1800.0;0.007133484355868638
8;9;1195975800.0;52198560.0;0.0012337118160711267;143545;1800.0;0.005444956670932675
9;10;2176260300.0;90568800.0;0.0021405915934727443;225737;1800.0;0.009447448258848034
10;11;1567584900.0;69493500.0;0.0016424773420979206;184360;1800.0;0.007249033308816987
11;12;2233032300.0;102901680.0;0.0024320789406751817;333993;900.0;0.010733920448087284
12;13;1462062600.0;69920760.0;0.0016525756227887011;213747;1800.0;0.00729360166884439
13;14;2091172500.0;107672700.0;0.0025448418933066656;324748;1800.0;0.011231596835813196
14;15;1941156900.0;77326560.0;0.0018276115426964447;172321;2700.0;0.008066118427449755
15;16;8553249900.0;279165540.0;0.00659807139005131;515707;1800.0;0.029120425125353344
16;17;6711086700.0;251596860.0;0.005946486245375217;526758;1800.0;0.02624467025463356
